"Back to Contents","Data 1: Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)"
"Sourcekey","WCRFPUS2"
"Date","Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)"
"33970.0","6995.0"
"33977.0","7015.0"
"33984.0","6994.0"
"33991.0","7043.0"
"33998.0","7035.0"
"34005.0","7031.0"
"34012.0","7033.0"
"34019.0","6960.0"
"34026.0","6981.0"
"34033.0","7018.0"
"34040.0","6981.0"
"34047.0","6979.0"
"34054.0","6964.0"
"34061.0","6971.0"
"34068.0","6883.0"
"34075.0","6896.0"
"34082.0","6912.0"
"34089.0","6913.0"
"34096.0","6902.0"
"34103.0","6846.0"
"34110.0","6818.0"
"34117.0","6842.0"
"34124.0","6789.0"
"34131.0","6817.0"
"34138.0","6766.0"
"34145.0","6749.0"
"34152.0","6742.0"
"34159.0","6772.0"
"34166.0","6643.0"
"34173.0","6540.0"
"34180.0","6730.0"
"34187.0","6753.0"
"34194.0","6761.0"
"34201.0","6774.0"
"34208.0","6790.0"
"34215.0","6734.0"
"34222.0","6665.0"
"34229.0","6706.0"
"34236.0","6650.0"
"34243.0","6684.0"
"34250.0","6654.0"
"34257.0","6772.0"
"34264.0","6837.0"
"34271.0","6868.0"
"34278.0","6872.0"
"34285.0","6882.0"
"34292.0","6847.0"
"34299.0","6878.0"
"34306.0","6943.0"
"34313.0","6923.0"
"34320.0","6897.0"
"34327.0","6854.0"
"34334.0","6857.0"
"34341.0","6875.0"
"34348.0","6880.0"
"34355.0","6845.0"
"34362.0","6886.0"
"34369.0","6836.0"
"34376.0","6802.0"
"34383.0","6546.0"
"34390.0","6792.0"
"34397.0","6763.0"
"34404.0","6704.0"
"34411.0","6728.0"
"34418.0","6599.0"
"34425.0","6683.0"
"34432.0","6641.0"
"34439.0","6711.0"
"34446.0","6292.0"
"34453.0","6748.0"
"34460.0","6706.0"
"34467.0","6657.0"
"34474.0","6732.0"
"34481.0","6629.0"
"34488.0","6695.0"
"34495.0","6530.0"
"34502.0","6648.0"
"34509.0","6656.0"
"34516.0","6604.0"
"34523.0","6591.0"
"34530.0","6618.0"
"34537.0","6522.0"
"34544.0","6566.0"
"34551.0","6582.0"
"34558.0","6521.0"
"34565.0","6540.0"
"34572.0","6583.0"
"34579.0","6552.0"
"34586.0","6545.0"
"34593.0","6526.0"
"34600.0","6595.0"
"34607.0","6640.0"
"34614.0","6692.0"
"34621.0","6703.0"
"34628.0","6703.0"
"34635.0","6633.0"
"34642.0","6620.0"
"34649.0","6616.0"
"34656.0","6668.0"
"34663.0","6626.0"
"34670.0","6472.0"
"34677.0","6670.0"
"34684.0","6655.0"
"34691.0","6703.0"
"34698.0","6675.0"
"34705.0","6651.0"
"34712.0","6672.0"
"34719.0","6571.0"
"34726.0","6526.0"
"34733.0","6662.0"
"34740.0","6595.0"
"34747.0","6613.0"
"34754.0","6546.0"
"34761.0","6660.0"
"34768.0","6598.0"
"34775.0","6632.0"
"34782.0","6474.0"
"34789.0","6380.0"
"34796.0","6554.0"
"34803.0","6597.0"
"34810.0","6603.0"
"34817.0","6539.0"
"34824.0","6604.0"
"34831.0","6610.0"
"34838.0","6598.0"
"34845.0","6626.0"
"34852.0","6592.0"
"34859.0","6593.0"
"34866.0","6560.0"
"34873.0","6529.0"
"34880.0","6545.0"
"34887.0","6518.0"
"34894.0","6448.0"
"34901.0","6417.0"
"34908.0","6484.0"
"34915.0","6444.0"
"34922.0","6476.0"
"34929.0","6475.0"
"34936.0","6483.0"
"34943.0","6507.0"
"34950.0","6491.0"
"34957.0","6248.0"
"34964.0","6414.0"
"34971.0","6450.0"
"34978.0","6215.0"
"34985.0","6404.0"
"34992.0","6497.0"
"34999.0","6512.0"
"35006.0","6539.0"
"35013.0","6516.0"
"35020.0","6493.0"
"35027.0","6484.0"
"35034.0","6450.0"
"35041.0","6428.0"
"35048.0","6411.0"
"35055.0","6467.0"
"35062.0","6474.0"
"35069.0","6464.0"
"35076.0","6498.0"
"35083.0","6516.0"
"35090.0","6405.0"
"35097.0","6413.0"
"35104.0","6505.0"
"35111.0","6511.0"
"35118.0","6501.0"
"35125.0","6496.0"
"35132.0","6461.0"
"35139.0","6490.0"
"35146.0","6473.0"
"35153.0","6440.0"
"35160.0","6441.0"
"35167.0","6390.0"
"35174.0","6425.0"
"35181.0","6173.0"
"35188.0","6454.0"
"35195.0","6065.0"
"35202.0","6363.0"
"35209.0","6412.0"
"35216.0","6392.0"
"35223.0","6421.0"
"35230.0","6515.0"
"35237.0","6452.0"
"35244.0","6489.0"
"35251.0","6499.0"
"35258.0","6499.0"
"35265.0","6345.0"
"35272.0","6394.0"
"35279.0","6297.0"
"35286.0","6286.0"
"35293.0","6445.0"
"35300.0","6481.0"
"35307.0","6526.0"
"35314.0","6497.0"
"35321.0","6498.0"
"35328.0","6467.0"
"35335.0","6520.0"
"35342.0","6485.0"
"35349.0","6485.0"
"35356.0","6523.0"
"35363.0","6514.0"
"35370.0","6513.0"
"35377.0","6541.0"
"35384.0","6531.0"
"35391.0","6512.0"
"35398.0","6538.0"
"35405.0","6534.0"
"35412.0","6518.0"
"35419.0","6523.0"
"35426.0","6506.0"
"35433.0","6454.0"
"35440.0","6499.0"
"35447.0","6476.0"
"35454.0","6513.0"
"35461.0","6505.0"
"35468.0","6483.0"
"35475.0","6502.0"
"35482.0","6496.0"
"35489.0","6501.0"
"35496.0","6440.0"
"35503.0","6449.0"
"35510.0","6391.0"
"35517.0","6409.0"
"35524.0","6493.0"
"35531.0","6433.0"
"35538.0","6412.0"
"35545.0","6465.0"
"35552.0","6409.0"
"35559.0","6430.0"
"35566.0","6426.0"
"35573.0","6423.0"
"35580.0","6439.0"
"35587.0","6435.0"
"35594.0","6415.0"
"35601.0","6334.0"
"35608.0","6357.0"
"35615.0","6338.0"
"35622.0","6351.0"
"35629.0","6352.0"
"35636.0","6337.0"
"35643.0","6360.0"
"35650.0","6127.0"
"35657.0","6221.0"
"35664.0","6387.0"
"35671.0","6400.0"
"35678.0","6362.0"
"35685.0","6393.0"
"35692.0","6366.0"
"35699.0","6396.0"
"35706.0","6375.0"
"35713.0","6371.0"
"35720.0","6408.0"
"35727.0","6407.0"
"35734.0","6400.0"
"35741.0","6418.0"
"35748.0","6385.0"
"35755.0","6390.0"
"35762.0","6416.0"
"35769.0","6448.0"
"35776.0","6440.0"
"35783.0","6463.0"
"35790.0","6462.0"
"35797.0","6459.0"
"35804.0","6430.0"
"35811.0","6376.0"
"35818.0","6359.0"
"35825.0","6377.0"
"35832.0","6412.0"
"35839.0","6424.0"
"35846.0","6415.0"
"35853.0","6368.0"
"35860.0","6440.0"
"35867.0","6420.0"
"35874.0","6336.0"
"35881.0","6405.0"
"35888.0","6443.0"
"35895.0","6407.0"
"35902.0","6417.0"
"35909.0","6397.0"
"35916.0","6422.0"
"35923.0","6422.0"
"35930.0","6378.0"
"35937.0","6368.0"
"35944.0","6346.0"
"35951.0","6333.0"
"35958.0","6372.0"
"35965.0","6383.0"
"35972.0","6269.0"
"35979.0","6311.0"
"35986.0","6354.0"
"35993.0","6351.0"
"36000.0","6354.0"
"36007.0","6340.0"
"36014.0","6336.0"
"36021.0","6319.0"
"36028.0","6315.0"
"36035.0","6346.0"
"36042.0","6349.0"
"36049.0","6366.0"
"36056.0","6411.0"
"36063.0","6396.0"
"36070.0","5950.0"
"36077.0","6368.0"
"36084.0","6418.0"
"36091.0","6442.0"
"36098.0","6417.0"
"36105.0","6398.0"
"36112.0","6401.0"
"36119.0","6399.0"
"36126.0","6401.0"
"36133.0","6390.0"
"36140.0","6390.0"
"36147.0","6449.0"
"36154.0","6437.0"
"36161.0","6342.0"
"36168.0","6393.0"
"36175.0","6373.0"
"36182.0","6352.0"
"36189.0","6363.0"
"36196.0","6369.0"
"36203.0","6052.0"
"36210.0","5899.0"
"36217.0","5911.0"
"36224.0","5920.0"
"36231.0","5895.0"
"36238.0","5894.0"
"36245.0","5864.0"
"36252.0","5879.0"
"36259.0","5740.0"
"36266.0","5849.0"
"36273.0","5707.0"
"36280.0","5877.0"
"36287.0","5835.0"
"36294.0","5804.0"
"36301.0","5857.0"
"36308.0","5845.0"
"36315.0","5864.0"
"36322.0","5868.0"
"36329.0","5926.0"
"36336.0","5884.0"
"36343.0","5662.0"
"36350.0","5808.0"
"36357.0","5952.0"
"36364.0","5927.0"
"36371.0","5898.0"
"36378.0","5925.0"
"36385.0","5950.0"
"36392.0","5970.0"
"36399.0","5994.0"
"36406.0","6014.0"
"36413.0","5917.0"
"36420.0","5692.0"
"36427.0","5973.0"
"36434.0","6032.0"
"36441.0","6082.0"
"36448.0","6090.0"
"36455.0","6101.0"
"36462.0","6111.0"
"36469.0","6134.0"
"36476.0","6128.0"
"36483.0","6059.0"
"36490.0","6006.0"
"36497.0","6087.0"
"36504.0","6057.0"
"36511.0","6043.0"
"36518.0","6058.0"
"36525.0","6043.0"
"36532.0","6000.0"
"36539.0","6019.0"
"36546.0","6013.0"
"36553.0","5988.0"
"36560.0","6011.0"
"36567.0","5994.0"
"36574.0","5989.0"
"36581.0","6007.0"
"36588.0","5974.0"
"36595.0","5857.0"
"36602.0","5859.0"
"36609.0","5863.0"
"36616.0","5873.0"
"36623.0","5820.0"
"36630.0","5840.0"
"36637.0","5836.0"
"36644.0","5838.0"
"36651.0","5798.0"
"36658.0","5757.0"
"36665.0","5793.0"
"36672.0","5784.0"
"36679.0","5704.0"
"36686.0","5804.0"
"36693.0","5791.0"
"36700.0","5726.0"
"36707.0","5732.0"
"36714.0","5766.0"
"36721.0","5788.0"
"36728.0","5769.0"
"36735.0","5764.0"
"36742.0","5778.0"
"36749.0","5745.0"
"36756.0","5773.0"
"36763.0","5782.0"
"36770.0","5783.0"
"36777.0","5802.0"
"36784.0","5803.0"
"36791.0","5680.0"
"36798.0","5862.0"
"36805.0","5867.0"
"36812.0","5864.0"
"36819.0","5880.0"
"36826.0","5894.0"
"36833.0","5903.0"
"36840.0","5889.0"
"36847.0","5854.0"
"36854.0","5883.0"
"36861.0","5925.0"
"36868.0","5903.0"
"36875.0","5897.0"
"36882.0","5875.0"
"36889.0","5903.0"
"36896.0","5944.0"
"36903.0","5949.0"
"36910.0","5912.0"
"36917.0","5935.0"
"36924.0","5929.0"
"36931.0","5866.0"
"36938.0","5857.0"
"36945.0","5875.0"
"36952.0","5876.0"
"36959.0","5868.0"
"36966.0","5883.0"
"36973.0","5868.0"
"36980.0","5883.0"
"36987.0","5867.0"
"36994.0","5855.0"
"37001.0","5861.0"
"37008.0","5884.0"
"37015.0","5831.0"
"37022.0","5780.0"
"37029.0","5785.0"
"37036.0","5819.0"
"37043.0","5823.0"
"37050.0","5746.0"
"37057.0","5726.0"
"37064.0","5740.0"
"37071.0","5756.0"
"37078.0","5756.0"
"37085.0","5770.0"
"37092.0","5731.0"
"37099.0","5705.0"
"37106.0","5745.0"
"37113.0","5773.0"
"37120.0","5785.0"
"37127.0","5796.0"
"37134.0","5751.0"
"37141.0","5829.0"
"37148.0","5814.0"
"37155.0","5789.0"
"37162.0","5735.0"
"37169.0","5736.0"
"37176.0","5515.0"
"37183.0","5828.0"
"37190.0","5879.0"
"37197.0","5859.0"
"37204.0","5863.0"
"37211.0","5872.0"
"37218.0","5882.0"
"37225.0","5873.0"
"37232.0","5856.0"
"37239.0","5884.0"
"37246.0","5911.0"
"37253.0","5902.0"
"37260.0","5922.0"
"37267.0","5922.0"
"37274.0","5911.0"
"37281.0","5909.0"
"37288.0","5916.0"
"37295.0","5952.0"
"37302.0","5927.0"
"37309.0","5956.0"
"37316.0","5966.0"
"37323.0","5947.0"
"37330.0","5975.0"
"37337.0","5948.0"
"37344.0","5956.0"
"37351.0","5916.0"
"37358.0","5922.0"
"37365.0","5896.0"
"37372.0","5865.0"
"37379.0","5879.0"
"37386.0","5889.0"
"37393.0","5894.0"
"37400.0","5890.0"
"37407.0","5896.0"
"37414.0","5897.0"
"37421.0","5910.0"
"37428.0","5939.0"
"37435.0","5917.0"
"37442.0","5898.0"
"37449.0","5885.0"
"37456.0","5839.0"
"37463.0","5844.0"
"37470.0","5604.0"
"37477.0","5858.0"
"37484.0","5907.0"
"37491.0","5918.0"
"37498.0","5883.0"
"37505.0","5773.0"
"37512.0","5716.0"
"37519.0","5736.0"
"37526.0","5190.0"
"37533.0","4803.0"
"37540.0","5490.0"
"37547.0","5721.0"
"37554.0","5714.0"
"37561.0","5711.0"
"37568.0","5349.0"
"37575.0","5738.0"
"37582.0","5754.0"
"37589.0","5740.0"
"37596.0","5763.0"
"37603.0","5752.0"
"37610.0","5758.0"
"37617.0","5749.0"
"37624.0","5752.0"
"37631.0","5728.0"
"37638.0","5702.0"
"37645.0","5739.0"
"37652.0","5764.0"
"37659.0","5899.0"
"37666.0","5906.0"
"37673.0","5898.0"
"37680.0","5901.0"
"37687.0","5872.0"
"37694.0","5886.0"
"37701.0","5906.0"
"37708.0","5906.0"
"37715.0","5866.0"
"37722.0","5801.0"
"37729.0","5772.0"
"37736.0","5766.0"
"37743.0","5829.0"
"37750.0","5855.0"
"37757.0","5807.0"
"37764.0","5813.0"
"37771.0","5837.0"
"37778.0","5803.0"
"37785.0","5860.0"
"37792.0","5900.0"
"37799.0","5867.0"
"37806.0","5815.0"
"37813.0","5770.0"
"37820.0","5777.0"
"37827.0","5699.0"
"37834.0","5738.0"
"37841.0","5747.0"
"37848.0","5750.0"
"37855.0","5736.0"
"37862.0","5723.0"
"37869.0","5727.0"
"37876.0","5703.0"
"37883.0","5739.0"
"37890.0","5734.0"
"37897.0","5678.0"
"37904.0","5559.0"
"37911.0","5605.0"
"37918.0","5614.0"
"37925.0","5550.0"
"37932.0","5596.0"
"37939.0","5692.0"
"37946.0","5683.0"
"37953.0","5709.0"
"37960.0","5597.0"
"37967.0","5592.0"
"37974.0","5663.0"
"37981.0","5658.0"
"37988.0","5664.0"
"37995.0","5705.0"
"38002.0","5717.0"
"38009.0","5709.0"
"38016.0","5710.0"
"38023.0","5703.0"
"38030.0","5658.0"
"38037.0","5622.0"
"38044.0","5661.0"
"38051.0","5675.0"
"38058.0","5658.0"
"38065.0","5657.0"
"38072.0","5658.0"
"38079.0","5661.0"
"38086.0","5611.0"
"38093.0","5588.0"
"38100.0","5618.0"
"38107.0","5624.0"
"38114.0","5626.0"
"38121.0","5611.0"
"38128.0","5608.0"
"38135.0","5460.0"
"38142.0","5452.0"
"38149.0","5411.0"
"38156.0","5434.0"
"38163.0","5394.0"
"38170.0","5404.0"
"38177.0","5485.0"
"38184.0","5334.0"
"38191.0","5446.0"
"38198.0","5367.0"
"38205.0","5414.0"
"38212.0","5243.0"
"38219.0","5113.0"
"38226.0","5401.0"
"38233.0","5360.0"
"38240.0","5337.0"
"38247.0","5087.0"
"38254.0","4946.0"
"38261.0","4656.0"
"38268.0","5033.0"
"38275.0","5090.0"
"38282.0","5110.0"
"38289.0","5176.0"
"38296.0","5319.0"
"38303.0","5391.0"
"38310.0","5395.0"
"38317.0","5408.0"
